,game_id,season,date,away_team,away_score,home_team,home_score,result,away_elo_i,away_elo_n,home_elo_i,home_elo_n,elo_pred,away_back_to_back,home_back_to_back,a_eFGp,a_FTr,a_ORBp,a_TOVp,h_eFGp,h_FTr,h_ORBp,h_TOVp,elo_diff,favorite_is_home,is_upset,away_streak,away_last_5_win_pct,away_last_10_win_pct,away_last_15_win_pct,home_streak,home_last_5_win_pct,home_last_10_win_pct,home_last_15_win_pct,away_vs_home_win_pct,a_eFGp_10,h_eFGp_10,a_TOVp_10,h_TOVp_10,a_ORBp_10,h_ORBp_10,a_FTr_10,h_FTr_10,eFGp_diff,eFGp_roll_diff,FTr_diff,FTr_roll_diff,ORBp_diff,ORBp_roll_diff,TOVp_diff,TOVp_roll_diff,elo_diff_back_to_back,streak_vs_opp_streak,momentum_factor
0,181910160001,1819,2018-10-16,PHI,87,BOS,105,1,1620.863002301795,1607.7840714047752,1560.626140108999,1573.705071006019,1,False,False,0.5583864118895966,0.1454352441613588,0.2383,0.1147065926104805,0.5149880095923262,0.1942446043165467,0.2163999999999999,0.1313370107696349,-60.236862192796025,0,1,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5583864118895966,0.5149880095923262,0.1147065926104805,0.1313370107696349,0.2383,0.2163999999999999,0.1454352441613588,0.1942446043165467,-0.04339840229727043,-0.04339840229727043,0.048809360155187886,0.048809360155187886,-0.021900000000000114,-0.021900000000000114,0.016630418159154392,0.016630418159154392,-0.0,0,0.0
1,181910160002,1819,2018-10-16,OKC,100,GSW,108,1,1591.1819241954,1584.1643921807004,1556.7592601752567,1563.7767921899565,1,False,False,0.4977553310886645,0.2491582491582491,0.2568,0.108759962412557,0.5297897196261683,0.1565420560747663,0.1954,0.1320422535211267,-34.4226640201432,0,1,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.4977553310886645,0.5297897196261683,0.108759962412557,0.1320422535211267,0.2568,0.1954,0.2491582491582491,0.1565420560747663,0.03203438853750379,0.03203438853750379,-0.09261619308348282,-0.09261619308348282,-0.06139999999999998,-0.06139999999999998,0.02328229110856969,0.02328229110856969,-0.0,0,0.0
9,181910170005,1819,2018-10-17,MEM,83,IND,111,1,1367.3951618341314,1361.6517824947443,1544.477809802304,1550.2211891416912,1,False,False,0.5210035005834306,0.1621936989498249,0.2271,0.1347460129946839,0.5203160270880361,0.1444695259593679,0.248,0.1062837963826216,177.08264796817252,1,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5210035005834306,0.5203160270880361,0.1347460129946839,0.1062837963826216,0.2271,0.248,0.1621936989498249,0.1444695259593679,-0.0006874734953944417,-0.0006874734953944417,-0.017724172990457004,-0.017724172990457004,0.020900000000000002,0.020900000000000002,-0.028462216612062288,-0.028462216612062288,0.0,0,0.0
6,181910170008,1819,2018-10-17,CLE,104,TOR,116,1,1536.2407862060463,1531.42528091401,1636.4276064907767,1641.243111782813,1,False,False,0.5319767441860465,0.2209302325581395,0.2138,0.1094514550605202,0.5364880273660205,0.1334093500570125,0.2073,0.1181571210598786,100.1868202847304,1,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5319767441860465,0.5364880273660205,0.1094514550605202,0.1181571210598786,0.2138,0.2073,0.2209302325581395,0.1334093500570125,0.004511283179974068,0.004511283179974068,-0.08752088250112702,-0.08752088250112702,-0.006499999999999978,-0.006499999999999978,0.008705665999358403,0.008705665999358403,0.0,0,0.0
2,181910170013,1819,2018-10-17,DAL,100,PHO,121,1,1394.0235259719575,1379.4875682035215,1334.088544249479,1348.624502017915,1,False,False,0.4909502262443438,0.1357466063348416,0.1633,0.1028768096966069,0.5099067599067599,0.1701631701631701,0.1932,0.1340604822529456,-59.9349817224786,0,1,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.4909502262443438,0.5099067599067599,0.1028768096966069,0.1340604822529456,0.1633,0.1932,0.1357466063348416,0.1701631701631701,0.01895653366241612,0.01895653366241612,0.0344165638283285,0.0344165638283285,0.02990000000000001,0.02990000000000001,0.031183672556338693,0.031183672556338693,-0.0,0,0.0
5,181910170009,1819,2018-10-17,NOP,131,HOU,112,0,1567.3910965914351,1596.515812417773,1675.312740902731,1646.1880250763934,1,False,False,0.5455043859649122,0.1524122807017544,0.2137,0.1223534418555165,0.533452807646356,0.1792114695340501,0.1691,0.1248817407757805,107.92164431129595,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5455043859649122,0.533452807646356,0.1223534418555165,0.1248817407757805,0.2137,0.1691,0.1524122807017544,0.1792114695340501,-0.012051578318556189,-0.012051578318556189,0.026799188832295706,0.026799188832295706,-0.0446,-0.0446,0.002528298920264002,0.002528298920264002,0.0,0,0.0
10,181910170004,1819,2018-10-17,BRK,100,DET,103,1,1431.6674397950824,1428.8456065198525,1491.719352200405,1494.5411854756348,1,False,False,0.5504103165298945,0.1793669402110199,0.1437,0.1234315836364986,0.5437500000000001,0.1738636363636363,0.2113,0.1001669449081803,60.05191240532258,1,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5504103165298945,0.5437500000000001,0.1234315836364986,0.1001669449081803,0.1437,0.2113,0.1793669402110199,0.1738636363636363,-0.006660316529894406,-0.006660316529894406,-0.005503303847383595,-0.005503303847383595,0.0676,0.0676,-0.0232646387283183,-0.0232646387283183,0.0,0,0.0
3,181910170012,1819,2018-10-17,DEN,107,LAC,98,0,1566.419627869804,1577.621623237467,1506.2551620500656,1495.0531666824024,1,False,False,0.5261958997722096,0.2129840546697038,0.2469,0.1126653927966254,0.5098722415795587,0.2067363530778165,0.2662,0.1234082129059951,-60.164465819738325,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5261958997722096,0.5098722415795587,0.1126653927966254,0.1234082129059951,0.2469,0.2662,0.2129840546697038,0.2067363530778165,-0.016323658192650914,-0.016323658192650914,-0.006247701591887311,-0.006247701591887311,0.019299999999999984,0.019299999999999984,0.010742820109369708,0.010742820109369708,-0.0,0,0.0
8,181910170006,1819,2018-10-17,MIA,101,ORL,104,1,1505.8839249496143,1499.6985394497628,1377.5668208329002,1383.752206332752,0,False,False,0.4977628635346756,0.1666666666666666,0.2005,0.1231571377202445,0.4693877551020408,0.1598639455782312,0.2078,0.1120829046009113,-128.31710411671406,0,1,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.4977628635346756,0.4693877551020408,0.1231571377202445,0.1120829046009113,0.2005,0.2078,0.1666666666666666,0.1598639455782312,-0.0283751084326348,-0.0283751084326348,-0.0068027210884354095,-0.0068027210884354095,0.007300000000000001,0.007300000000000001,-0.011074233119333199,-0.011074233119333199,-0.0,0,0.0
11,181910170003,1819,2018-10-17,MIL,113,CHO,112,0,1511.3376557033853,1516.8088874507412,1502.0703627904757,1496.5991310431198,1,False,False,0.51953125,0.1863839285714285,0.2196,0.1171190501734434,0.5553613053613053,0.2482517482517482,0.2238,0.1232457718603814,-9.267292912909625,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.51953125,0.5553613053613053,0.1171190501734434,0.1232457718603814,0.2196,0.2238,0.1863839285714285,0.2482517482517482,0.035830055361305346,0.035830055361305346,0.06186781968031971,0.06186781968031971,0.004200000000000009,0.004200000000000009,0.006126721686937994,0.006126721686937994,-0.0,0,0.0
