,game_id,season,date,away_team,away_score,home_team,home_score,result,a_eFGp,a_FTr,a_ORBp,a_TOVp,h_eFGp,h_FTr,h_ORBp,h_TOVp
0,131410290001,1314,2013-10-29,ORL,87,IND,97,1,,,,,,,,
1,131410290002,1314,2013-10-29,CHI,95,MIA,107,1,,,,,,,,
2,131410290003,1314,2013-10-29,LAC,103,LAL,116,1,,,,,,,,
3,131410300004,1314,2013-10-30,BRK,94,CLE,98,1,,,,,,,,
4,131410300005,1314,2013-10-30,BOS,87,TOR,93,1,,,,,,,,
5,131410300006,1314,2013-10-30,MIA,110,PHI,114,1,0.5902777777777778,0.3055555555555556,0.143,0.1751654340210198,,,,
6,131410300007,1314,2013-10-30,WAS,102,DET,113,1,,,,,,,,
7,131410300008,1314,2013-10-30,MIL,83,NYK,90,1,,,,,,,,
8,131410300009,1314,2013-10-30,IND,95,NOP,90,0,0.528169014084507,0.3098591549295774,0.278,0.1903311762466692,,,,
9,131410300010,1314,2013-10-30,ORL,115,MIN,120,1,0.4354838709677419,0.064516129032258,0.277,0.1486013986013986,,,,
10,131410300011,1314,2013-10-30,CHO,83,HOU,96,1,,,,,,,,
11,131410300012,1314,2013-10-30,MEM,94,SAS,101,1,,,,,,,,
12,131410300013,1314,2013-10-30,ATL,109,DAL,118,1,,,,,,,,
13,131410300014,1314,2013-10-30,OKC,101,UTA,98,0,,,,,,,,
14,131410300015,1314,2013-10-30,POR,91,PHO,104,1,,,,,,,,
15,131410300016,1314,2013-10-30,DEN,88,SAC,90,1,,,,,,,,
16,131410300017,1314,2013-10-30,LAL,94,GSW,125,1,0.5268817204301075,0.1935483870967742,0.375,0.1528314028314028,,,,
17,131410310018,1314,2013-10-31,NYK,81,CHI,82,1,0.528169014084507,0.2112676056338028,0.188,0.2189490445859872,0.463855421686747,0.216867469879518,0.239,0.161987041036717
18,131410310019,1314,2013-10-31,GSW,115,LAC,126,1,0.622093023255814,0.2093023255813953,0.189,0.1349892008639308,0.5421686746987951,0.1566265060240964,0.227,0.1466275659824046
19,131411010020,1314,2013-11-01,CLE,84,CHO,90,1,0.4464285714285714,0.2738095238095238,0.364,0.1000363768643142,0.3888888888888889,0.1444444444444444,0.231,0.0661625708884688
20,131411010021,1314,2013-11-01,NOP,90,ORL,110,1,0.4294117647058823,0.2,0.326,0.1373123398022702,0.4792746113989637,0.0880829015544041,0.2815,0.1456391478029294
21,131411010022,1314,2013-11-01,PHI,109,WAS,102,0,0.5875,0.25,0.25,0.1658069270449521,0.5,0.3076923076923077,0.289,0.1480384900074019
22,131411010023,1314,2013-11-01,TOR,95,ATL,102,1,0.4709302325581395,0.1395348837209302,0.422,0.1502828854314002,0.5394736842105263,0.3552631578947368,0.125,0.1568265682656826
23,131411010024,1314,2013-11-01,MIL,105,BOS,98,0,0.4932432432432432,0.1351351351351351,0.152,0.2248728979272585,0.5075757575757576,0.303030303030303,0.1939999999999999,0.2183406113537117
24,131411010025,1314,2013-11-01,MIA,100,BRK,101,1,0.589171974522293,0.2038216560509554,0.161,0.1741340361445783,0.4573170731707317,0.2317073170731707,0.22,0.1394570472294533
25,131411010026,1314,2013-11-01,DAL,105,HOU,113,1,0.6428571428571429,0.2467532467532467,0.2,0.1859427296392711,0.5328947368421053,0.1973684210526315,0.359,0.1721499617444529
26,131411010027,1314,2013-11-01,DET,108,MEM,111,1,0.5576923076923077,0.3333333333333333,0.324,0.1628664495114006,0.4623655913978494,0.086021505376344,0.2339999999999999,0.1232394366197183
27,131411010028,1314,2013-11-01,OKC,81,MIN,100,1,0.4444444444444444,0.3580246913580246,0.227,0.11979358643568,0.46,0.28,0.259,0.108560794044665
28,131411010029,1314,2013-11-01,POR,113,DEN,98,0,0.4567901234567901,0.2098765432098765,0.2339999999999999,0.1243305279265493,0.4620253164556962,0.189873417721519,0.211,0.172281776416539
29,131411010030,1314,2013-11-01,UTA,84,PHO,87,1,0.4936708860759494,0.2531645569620253,0.222,0.1926444833625218,0.5421686746987951,0.1686746987951807,0.282,0.1416163141993957
30,131411010031,1314,2013-11-01,LAC,110,SAC,101,0,0.5446428571428571,0.2738095238095238,0.3185,0.145224671108833,0.4567901234567901,0.1975308641975308,0.25,0.1331811263318112
31,131411010032,1314,2013-11-01,SAS,91,LAL,85,0,0.5986842105263158,0.131578947368421,0.108,0.1529987760097919,0.4835164835164835,0.1868131868131868,0.2775,0.1467136150234742
32,131411020033,1314,2013-11-02,CLE,74,IND,89,1,0.4255952380952381,0.2321428571428571,0.31,0.1269035532994924,0.5141843971631206,0.3333333333333333,0.227,0.1762287056980614
33,131411020034,1314,2013-11-02,CHI,104,PHI,107,1,0.4465408805031446,0.220125786163522,0.2745,0.1686340640809443,0.5632183908045977,0.1551724137931034,0.2375,0.1624802388898647
34,131411020035,1314,2013-11-02,CHO,84,NOP,105,1,0.4263803680981595,0.2085889570552147,0.185,0.1053841732132592,0.403954802259887,0.2090395480225988,0.315,0.1201709097382944
35,131411020036,1314,2013-11-02,MEM,99,DAL,111,1,0.5058823529411764,0.1941176470588235,0.211,0.1519213583556747,0.519774011299435,0.2203389830508474,0.248,0.1461988304093567
36,131411020037,1314,2013-11-02,TOR,97,MIL,90,0,0.4827586206896552,0.1149425287356321,0.336,0.1322510032834732,0.4715189873417721,0.2468354430379747,0.2425,0.1440645409143296
37,131411020038,1314,2013-11-02,HOU,104,UTA,93,0,0.5369127516778524,0.3288590604026846,0.342,0.1801801801801801,0.4420731707317073,0.2256097560975609,0.3225,0.1817552362818071
38,131411020039,1314,2013-11-02,SAS,105,POR,115,1,0.5058823529411764,0.1176470588235294,0.174,0.1284490960989533,0.4782608695652174,0.1521739130434782,0.2739999999999999,0.0904322662325917
39,131411020040,1314,2013-11-02,SAC,87,GSW,98,1,0.475,0.24375,0.253,0.111003861003861,0.6141975308641975,0.2530864197530864,0.226,0.172841694734976
40,131411030041,1314,2013-11-03,BOS,77,DET,87,1,0.4894366197183099,0.323943661971831,0.3115,0.1852907639680729,0.5329341317365269,0.2574850299401197,0.3215,0.1615156277283045
41,131411030042,1314,2013-11-03,WAS,93,MIA,103,1,0.4912790697674418,0.2034883720930232,0.2885,0.1456567796610169,0.5714285714285714,0.2723214285714285,0.1433333333333333,0.1675689610724413
42,131411030043,1314,2013-11-03,BRK,86,ORL,107,1,0.4966666666666666,0.3066666666666666,0.216,0.1566059225512528,0.520912547528517,0.1444866920152091,0.2396666666666667,0.1557907113462669
43,131411030044,1314,2013-11-03,PHO,96,OKC,103,1,0.4759036144578313,0.1987951807228915,0.311,0.1438648598477817,0.4176829268292683,0.274390243902439,0.2565,0.1539297356030423
44,131411030045,1314,2013-11-03,MIN,109,NYK,100,0,0.4689265536723164,0.3050847457627119,0.251,0.1231527093596059,0.464968152866242,0.1592356687898089,0.2295,0.178193026391832
45,131411030046,1314,2013-11-03,ATL,103,LAL,105,1,0.5359477124183006,0.3071895424836601,0.152,0.1414827391058291,0.4621212121212121,0.1931818181818181,0.243,0.1369783166239216
46,131411040047,1314,2013-11-04,MIN,92,CLE,93,1,0.48046875,0.32421875,0.2413333333333333,0.1194638694638694,0.4063745019920318,0.2071713147410358,0.2493333333333333,0.1348700343305541
47,131411040048,1314,2013-11-04,GSW,110,PHI,90,0,0.6050420168067228,0.2100840336134454,0.1956666666666666,0.1754277976117198,0.5596153846153846,0.15,0.234,0.154467680608365
48,131411040049,1314,2013-11-04,BOS,88,MEM,95,1,0.4722222222222222,0.2685185185185185,0.2796666666666667,0.1982350684230719,0.4844357976653696,0.2140077821011672,0.2586666666666666,0.1503360452776795
49,131411040050,1314,2013-11-04,HOU,118,LAC,137,1,0.5486111111111112,0.3518518518518518,0.3189999999999999,0.1799007444168734,0.5567226890756304,0.3109243697478992,0.3076666666666666,0.1466714559386973
50,131411050051,1314,2013-11-05,MIA,104,TOR,95,0,0.5799319727891157,0.2687074829931973,0.17,0.1665850073493385,0.4702380952380952,0.1904761904761904,0.344,0.1389728096676737
