,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.▼,Attend./G
1,Cleveland Cavaliers,26.7,48,10,47,11,11.67,-0.97,10.71,122.8,111.1,+11.7,100.1,.234,.454,.616,,.588,11.7,25.4,.183,,.526,12.9,75.5,.180,,Rocket Arena,602392,19432
2,Toronto Raptors,24.7,18,40,19,39,-5.66,1.59,-4.07,110.8,116.5,-5.7,99.2,.237,.369,.561,,.531,13.6,26.2,.177,,.546,12.7,73.6,.225,,Scotiabank Arena,598279,18696
3,Philadelphia 76ers,28.2,20,37,21,36,-4.56,-0.03,-4.59,111.8,116.5,-4.7,96.7,.266,.423,.565,,.526,12.3,22.9,.210,,.568,15.0,73.1,.203,,Wells Fargo Center,595208,19840
4,Chicago Bulls,25.4,23,35,22,36,-4.00,-0.23,-4.23,112.5,116.4,-3.9,103.1,.209,.470,.580,,.549,13.0,21.4,.168,,.542,10.7,76.2,.179,,United Center,594590,19820
5,New York Knicks,27.5,37,20,37,20,4.79,-0.78,4.01,120.2,115.3,+4.9,97.4,.237,.382,.597,,.564,11.8,25.9,.191,,.552,12.7,74.8,.172,,Madison Square Garden (IV),594360,19812
6,Dallas Mavericks,27.6,31,28,33,26,1.69,0.74,2.43,115.9,114.2,+1.7,98.9,.261,.401,.584,,.551,12.6,25.1,.202,,.529,11.8,72.9,.182,,American Airlines Center,582478,20085
7,Denver Nuggets,26.9,38,20,38,20,5.38,-0.52,4.86,120.3,114.9,+5.4,100.2,.254,.349,.606,,.575,12.5,27.1,.198,,.537,11.5,74.7,.171,,Ball Arena,573414,19773
8,Minnesota Timberwolves,27.2,32,27,35,24,3.07,1.21,4.28,114.5,111.4,+3.1,97.4,.251,.451,.580,,.544,13.4,25.9,.200,,.530,13.2,75.0,.179,,Target Center,569340,18978
9,Orlando Magic,24.9,29,31,27,33,-1.60,-0.54,-2.14,107.5,109.2,-1.7,96.3,.270,.415,.540,,.501,13.1,25.5,.206,,.541,15.3,78.1,.224,,Kia Center,558319,18611
10,Golden State Warriors,28.5,31,27,32,26,1.74,0.77,2.51,113.6,111.8,+1.8,99.1,.226,.462,.558,,.530,12.0,27.3,.167,,.537,13.5,76.0,.193,,Chase Center,541920,18064
11,Detroit Pistons,25.7,32,26,31,27,0.95,-0.49,0.45,113.9,112.9,+1.0,99.6,.234,.401,.577,,.545,13.5,26.4,.183,,.543,13.2,76.9,.205,,Little Caesars Arena,524891,18746
12,Oklahoma City Thunder,24.7,46,11,47,10,12.72,-0.12,12.60,118.7,106.0,+12.7,99.6,.214,.420,.584,,.551,10.5,24.8,.176,,.506,15.7,73.7,.222,,Paycom Center,518974,17277
13,Boston Celtics,28.9,42,16,44,14,9.34,-0.61,8.74,119.9,110.3,+9.6,96.9,.221,.534,.590,,.560,10.7,24.3,.176,,.520,11.9,76.7,.163,,TD Garden,517212,18472
14,Portland Trail Blazers,24.0,25,33,21,37,-4.52,0.33,-4.19,110.9,115.5,-4.6,98.7,.247,.406,.557,,.522,14.0,27.8,.190,,.544,13.4,72.4,.208,,Moda Center,516110,17204
15,Utah Jazz,24.3,14,43,17,40,-6.98,0.73,-6.26,112.5,119.5,-7.0,99.2,.261,.447,.574,,.538,15.1,28.0,.204,,.555,10.4,74.6,.191,,Delta Center,508900,18175
16,Washington Wizards,23.8,10,47,10,47,-12.98,1.15,-11.83,106.3,119.1,-12.8,101.3,.231,.430,.545,,.511,14.0,23.0,.180,,.552,11.5,73.2,.208,,Capital One Arena,507290,16232
17,Los Angeles Lakers,28.0,35,21,30,26,1.38,-0.31,1.06,115.1,113.7,+1.4,98.0,.269,.406,.591,,.554,12.6,22.5,.213,,.537,12.5,75.0,.172,,Crypto.com Arena,504230,18675
18,Milwaukee Bucks,29.6,32,25,31,26,1.53,-0.96,0.56,114.2,112.7,+1.5,99.6,.253,.429,.589,,.561,12.4,19.5,.188,,.527,11.5,76.1,.184,,Fiserv Forum,504085,17392
19,New Orleans Pelicans,26.0,15,43,16,42,-8.12,0.95,-7.17,110.4,118.5,-8.1,99.6,.251,.388,.550,,.515,12.5,26.0,.193,,.559,12.7,72.2,.182,,Smoothie King Center,498226,16608
20,Charlotte Hornets,25.2,14,43,16,41,-7.53,-0.31,-7.84,107.3,115.0,-7.7,97.7,.226,.440,.535,,.500,13.6,27.3,.176,,.545,12.7,74.6,.194,,Spectrum Center,496815,17132
21,Sacramento Kings,27.7,29,28,30,27,1.05,-0.44,0.61,116.1,115.1,+1.0,99.4,.241,.394,.580,,.544,11.9,25.3,.195,,.549,12.7,76.9,.202,,Golden 1 Center,496529,17122
22,San Antonio Spurs,25.9,24,32,25,31,-1.88,-0.17,-2.05,112.8,114.7,-1.9,99.4,.238,.442,.569,,.536,12.6,24.2,.186,,.538,11.9,73.3,.155,,Frost Bank Center,496061,17908
23,Houston Rockets,24.8,36,22,36,22,3.88,0.80,4.68,113.6,109.7,+3.9,98.7,.250,.381,.545,,.511,11.8,31.1,.187,,.523,13.1,75.6,.190,,Toyota Center,487616,17415
24,Brooklyn Nets,25.1,21,36,18,39,-6.00,-0.09,-6.09,108.5,114.8,-6.3,96.0,.244,.447,.555,,.518,14.1,24.6,.193,,.555,13.9,75.2,.214,,Barclays Center,466825,17290
25,Los Angeles Clippers,29.3,31,26,32,25,2.21,0.15,2.36,112.0,109.8,+2.2,98.3,.249,.392,.575,,.540,14.1,24.7,.198,,.535,14.1,77.0,.194,,Intuit Dome,465287,16044
26,Phoenix Suns,29.3,27,31,25,33,-2.14,-0.34,-2.48,115.5,117.7,-2.2,97.6,.259,.434,.594,,.557,12.7,21.5,.208,,.540,11.0,73.2,.195,,Footprint Center,460917,17071
27,Memphis Grizzlies,24.7,38,20,40,18,6.71,-0.50,6.21,118.2,111.8,+6.4,104.1,.263,.403,.591,,.558,13.6,29.5,.203,,.528,13.2,74.1,.204,,FedEx Forum,460838,16459
28,Miami Heat,26.9,26,30,26,30,-1.00,-0.40,-1.40,111.9,113.0,-1.1,96.5,.247,.444,.568,,.532,12.4,22.1,.196,,.538,12.2,75.6,.159,,Kaseya Center,453444,19715
29,Atlanta Hawks,25.0,27,31,25,33,-2.28,-0.15,-2.42,112.2,114.4,-2.2,103.3,.263,.407,.569,,.533,13.4,25.8,.202,,.557,14.1,76.2,.198,,State Farm Arena,442056,16372
30,Indiana Pacers,25.7,32,24,29,27,0.80,-0.52,0.28,115.9,115.1,+0.8,99.9,.245,.390,.593,,.560,12.0,21.3,.193,,.548,13.0,74.3,.200,,Gainbridge Fieldhouse,439550,16945
,League Average,26.6,,,29,29,0.00,0.00,0.00,113.9,113.9,,99.0,.245,.420,.574,,.540,12.8,25.1,.191,,.540,12.8,74.9,.191,,,519205,18057
